,Governor Demand,Throttle Pressure,Main Steam Temp,Inlet Density,First Stage Pressure,Steam Flow Target,Px/Pi
30,30,3497.446480427476,993.9540293514048,4.86969125402443,928.3258208932832,1711.087892801861,0.2654296001635509
31,31,3497.115147842837,993.9994525125817,4.868826339065226,956.1297484265821,1762.4936728760488,0.2734052806400618
32,32,3496.783815258198,994.0448756737587,4.8679616175534095,983.9336759598808,1813.8994529502368,0.28138247256421495
33,33,3496.4524826735583,994.0902988349358,4.867097089396835,1011.7376034931796,1865.3052330244248,0.28936117636569614
34,34,3496.121150088919,994.1357219961127,4.866232754503436,1039.5415310264784,1916.7110130986125,0.2973413924743538
35,35,3495.7898175042797,994.1811451572897,4.865368612781199,1067.3454585597772,1968.1167931728007,0.30532312132019945
36,36,3495.4584849196403,994.2265683184668,4.8645046641381855,1095.149386093076,2019.5225732469883,0.3133063633334078
37,37,3495.127152335001,994.2719914796437,4.86364090848251,1122.953313626375,2070.9283533211765,0.32129111894431645
38,38,3494.7958197503617,994.3174146408207,4.862777345722362,1150.7572411596736,2122.3341333953645,0.32927738858342626
39,39,3494.4644871657224,994.3628378019978,4.861913975765985,1178.5611686929726,2173.739913469552,0.33726517268140155
40,40,3494.133154581083,994.4082609631747,4.861050798521694,1206.3650962262714,2225.14569354374,0.3452544716690696
41,41,3493.801821996444,994.4536841243518,4.86018781389786,1234.16902375957,2276.5514736179284,0.3532452859774215
42,42,3493.4704894118045,994.4991072855287,4.859325021802933,1261.9729512928689,2327.957253692116,0.3612376160376117
43,43,3493.139156827165,994.5445304467057,4.858462422145412,1289.7768788261676,2379.3630337663035,0.3692314622809582
44,44,3492.807824242526,994.5899536078826,4.857600014833863,1317.5808063594666,2430.768813840492,0.3772268251389428
45,45,3492.476491657886,994.6353767690597,4.856737799776917,1345.3847338927653,2482.1745939146795,0.38522370504321085
46,46,3492.145159073247,994.6807999302366,4.855875776883276,1373.188661426064,2533.580373988868,0.3932221024255715
47,47,3491.813826488608,994.7262230914137,4.8550139460616935,1400.9925889593628,2584.9861540630554,0.40122201771799804
48,48,3491.4824939039686,994.7716462525907,4.854152307220991,1428.7965164926616,2636.391934137243,0.4092234513526276
49,49,3491.1511613193293,994.8170694137676,4.853290860270059,1456.6004440259605,2687.797714211431,0.41722640376176134
50,50,3490.81982873469,994.8624925749447,4.852429605117845,1484.4043715592593,2739.2034942856194,0.4252308753778645
51,51,3490.4884961500507,994.9079157361217,4.8515685416733625,1512.2082990925583,2790.609274359807,0.4332368666335667
52,52,3490.157163565411,994.9533388972986,4.8507076698456855,1540.012226625857,2842.0150544339945,0.4412443779616616
53,53,3489.8258309807716,994.9987620584757,4.849846989543955,1567.8161541591558,2893.420834508183,0.4492534097951074
54,54,3489.4944983961327,995.0441852196527,4.848986500677376,1595.6200816924545,2944.8266145823704,0.4572639625670266
55,55,3489.1631658114934,995.0896083808296,4.8481262031552115,1623.4240092257533,2996.232394656559,0.4652760367107065
56,56,3488.831833226854,995.1350315420066,4.847266096886793,1651.2279367590522,3047.6381747307464,0.4732896326595987
57,57,3488.5005006422143,995.1804547031836,4.84640618178151,1679.031864292351,3099.043954804934,0.4813047508473197
58,58,3488.169168057575,995.2258778643607,4.845546457748818,1706.8357918256497,3150.4497348791224,0.48932139170765043
59,59,3487.8378354729357,995.2713010255376,4.844686924698238,1734.6397193589487,3201.8555149533104,0.49733955567453697
60,60,3487.5065028882964,995.3167241867146,4.843827582539352,1762.4436468922474,3253.261295027498,0.5053592431820901
61,61,3487.1751703036575,995.3621473478917,4.842968431181798,1790.2475744255462,3304.6670751016854,0.5133804546645858
62,62,3486.843837719018,995.4075705090686,4.842109470535287,1818.051501958845,3356.072855175874,0.521403190556465
63,63,3486.5125051343784,995.4529936702456,4.841250700509587,1845.855429492144,3407.4786352500614,0.5294274512923338
64,64,3486.181172549739,995.4984168314227,4.840392121014529,1873.6593570254427,3458.88441532425,0.5374532373069634
65,65,3485.8498399651,995.5438399925996,4.83953373196001,1901.4632845587414,3510.2901953984374,0.5454805490352903
66,66,3485.5185073804605,995.5892631537766,4.838675533255986,1929.2672120920402,3561.6959754726254,0.5535093869124166
67,67,3485.187174795821,995.6346863149537,4.837817524812475,1957.071139625339,3613.1017555468134,0.5615397513736098
68,68,3484.8558422111823,995.6801094761306,4.836959706539562,1984.8750671586379,3664.5075356210014,0.5695716428543027
69,69,3484.5245096265426,995.7255326373075,4.8361020783473885,2012.6789946919366,3715.9133156951893,0.5776050617900942
70,70,3484.1931770419033,995.7709557984846,4.835244640146161,2040.4829222252354,3767.3190957693773,0.5856400086167481
71,71,3483.861844457264,995.8163789596616,4.834387391846153,2068.286849758534,3818.724875843565,0.5936764837701949
72,72,3483.5305118726246,995.8618021208385,4.8335303333576904,2096.090777291833,3870.130655917753,0.6017144876865304
